Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS8X8X.250,HSS8X8X1/4,F,25.8200,7.1000,-,-,8.0000,7.3000,-,-,-,8.0000,7.3000,-,-,-,-,-,-,-,0.2500,0.2330,-,-,-,-,-,-,-,-,-,-,31.3000,-,31.3000,-,70.7000,20.5000,17.7000,3.1500,70.7000,20.5000,17.7000,3.1500,-,-,-,111.0000,-,28.1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X8X.188,HSS8X8X3/16,F,19.6300,5.3700,-,-,8.0000,7.4800,-,-,-,8.0000,7.4800,-,-,-,-,-,-,-,0.1875,0.1740,-,-,-,-,-,-,-,-,-,-,43.0000,-,43.0000,-,54.4000,15.7000,13.6000,3.1800,54.4000,15.7000,13.6000,3.1800,-,-,-,84.5000,-,21.3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X8X.125,HSS8X8X1/8,F,13.2600,3.6200,-,-,8.0000,7.6500,-,-,-,8.0000,7.6500,-,-,-,-,-,-,-,0.1250,0.1160,-,-,-,-,-,-,-,-,-,-,66.0000,-,66.0000,-,37.4000,10.7000,9.3400,3.2100,37.4000,10.7000,9.3400,3.2100,-,-,-,57.3000,-,14.4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X6X.625,HSS8X6X5/8,F,50.8100,14.0000,-,-,8.0000,6.2600,-,-,-,6.0000,4.2600,-,-,-,-,-,-,-,0.6250,0.5810,-,-,-,-,-,-,-,-,-,-,7.3300,-,10.8000,-,114.0000,36.1000,28.5000,2.8500,72.3000,29.5000,24.1000,2.2700,-,-,-,150.0000,-,46.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X6X.500,HSS8X6X1/2,F,42.0500,11.6000,-,-,8.0000,6.6000,-,-,-,6.0000,4.6100,-,-,-,-,-,-,-,0.5000,0.4650,-,-,-,-,-,-,-,-,-,-,9.9000,-,14.2000,-,98.2000,30.5000,24.6000,2.9100,62.5000,24.9000,20.8000,2.3200,-,-,-,127.0000,-,38.4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X6X.375,HSS8X6X3/8,F,32.5800,8.9700,-,-,8.0000,6.9500,-,-,-,6.0000,4.9500,-,-,-,-,-,-,-,0.3750,0.3490,-,-,-,-,-,-,-,-,-,-,14.2000,-,19.9000,-,79.1000,24.1000,19.8000,2.9700,50.6000,19.8000,16.9000,2.3800,-,-,-,100.0000,-,30.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X6X.313,HSS8X6X5/16,F,27.5900,7.5900,-,-,8.0000,7.1300,-,-,-,6.0000,5.1300,-,-,-,-,-,-,-,0.3125,0.2910,-,-,-,-,-,-,-,-,-,-,17.6000,-,24.5000,-,68.3000,20.6000,17.1000,3.0000,43.8000,16.9000,14.6000,2.4000,-,-,-,85.8000,-,25.5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X6X.250,HSS8X6X1/4,F,22.4200,6.1700,-,-,8.0000,7.3000,-,-,-,6.0000,5.3000,-,-,-,-,-,-,-,0.2500,0.2330,-,-,-,-,-,-,-,-,-,-,22.8000,-,31.3000,-,56.6000,16.9000,14.2000,3.0300,36.4000,13.9000,12.1000,2.4300,-,-,-,70.3000,-,20.8000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X6X.188,HSS8X6X3/16,F,17.0800,4.6700,-,-,8.0000,7.4800,-,-,-,6.0000,5.4800,-,-,-,-,-,-,-,0.1875,0.1740,-,-,-,-,-,-,-,-,-,-,31.5000,-,43.0000,-,43.7000,13.0000,10.9000,3.0600,28.2000,10.7000,9.3900,2.4600,-,-,-,53.7000,-,15.8000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X4X.625,HSS8X4X5/8,F,42.3000,11.7000,-,-,8.0000,6.2600,-,-,-,4.0000,2.2600,-,-,-,-,-,-,-,0.6250,0.5810,-,-,-,-,-,-,-,-,-,-,3.8800,-,10.8000,-,82.0000,27.4000,20.5000,2.6400,26.6000,16.6000,13.3000,1.5100,-,-,-,70.3000,-,28.7000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X4X.500,HSS8X4X1/2,F,35.2400,9.7400,-,-,8.0000,6.6000,-,-,-,4.0000,2.6000,-,-,-,-,-,-,-,0.5000,0.4650,-,-,-,-,-,-,-,-,-,-,5.6000,-,14.2000,-,71.8000,23.5000,17.9000,2.7100,23.6000,14.3000,11.8000,1.5600,-,-,-,61.1000,-,24.4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X4X.375,HSS8X4X3/8,F,27.4800,7.5800,-,-,8.0000,6.9500,-,-,-,4.0000,2.9500,-,-,-,-,-,-,-,0.3750,0.3490,-,-,-,-,-,-,-,-,-,-,8.4600,-,19.9000,-,58.7000,18.8000,14.7000,2.7800,19.6000,11.5000,9.8000,1.6100,-,-,-,49.3000,-,19.3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X4X.313,HSS8X4X5/16,F,23.3400,6.4300,-,-,8.0000,7.1300,-,-,-,4.0000,3.1300,-,-,-,-,-,-,-,0.3125,0.2910,-,-,-,-,-,-,-,-,-,-,10.7000,-,24.5000,-,51.0000,16.1000,12.8000,2.8200,17.2000,9.9100,8.5800,1.6300,-,-,-,42.6000,-,16.5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
